2025-12-08 12:09:16 INFO  com.soucedemo.listeners.MyListener - Test started for : Default test
2025-12-08 12:09:20 INFO  com.soucedemo.base.Base - ===== Chrome browser is setup =====
2025-12-08 12:09:23 INFO  com.soucedemo.base.Base - Chrome browser is open
2025-12-08 12:09:24 INFO  com.soucedemo.base.Base - chrome browser is maximise
2025-12-08 12:09:24 INFO  com.soucedemo.base.Base - Implicit wait is setup
2025-12-08 12:09:25 INFO  com.soucedemo.base.Base - Url is open
2025-12-08 12:09:25 INFO  com.soucedemo.listeners.MyListener - Test Started TC001: Verify user is able to login with valid username and valid password
2025-12-08 12:09:27 INFO  com.soucedemo.pages.LoginPage - LoginPage initialized successfully
2025-12-08 12:09:27 INFO  com.soucedemo.tests.LoginTest - Entering valid username and valid password
2025-12-08 12:09:27 INFO  com.soucedemo.pages.LoginPage - Entering username: standard_user
2025-12-08 12:09:27 INFO  com.soucedemo.pages.LoginPage - Entering password: secret_sauce
2025-12-08 12:09:28 INFO  com.soucedemo.pages.LoginPage - Clicking Login button
2025-12-08 12:09:28 INFO  com.soucedemo.pages.HomePage - HomePage initialized successfully
2025-12-08 12:09:28 INFO  com.soucedemo.pages.HomePage - Home page ur is: https://www.saucedemo.com/inventory.html
2025-12-08 12:09:28 INFO  com.soucedemo.tests.LoginTest - Actual and axpected url are same
2025-12-08 12:09:28 INFO  com.soucedemo.listeners.MyListener - Test Pass: TC001: Verify user is able to login with valid username and valid password
2025-12-08 12:09:29 INFO  com.soucedemo.base.Base - ===== browser is close =====
2025-12-08 12:09:29 INFO  com.soucedemo.listeners.MyListener - Test finished for : Default test
